clip_id,source,threshold,tile_size,activation_rule,halo_tiles,total_tiles,active_tiles,partial_edge_tiles,additional_closure_tiles,pairs_at_or_above_75_percent,pairs_at_or_above_90_percent,full_pressure_pairs,active_tile_ratio,frozen_candidate_ratio,halo_inflation_ratio
c01,raw,4,64,1_percent,2,21216,17232,2652,9571,183,7,0,0.8122171945701357,0.18778280542986425,2.249314710873254
c01,raw,4,64,5_percent,0,21216,5037,2652,0,0,0,0,0.2374151583710407,0.7625848416289593,1.0
c01,raw,4,64,5_percent,1,21216,10615,2652,5578,3,0,0,0.500329939668175,0.49967006033182504,2.1074052015088345
c01,raw,4,64,5_percent,2,21216,14591,2652,9554,102,4,0,0.6877356711915535,0.31226432880844646,2.8967639467937265
c01,raw,4,64,10_percent,0,21216,3525,2652,0,0,0,0,0.16614819004524886,0.8338518099547512,1.0
c01,raw,4,64,10_percent,1,21216,8472,2652,4947,0,0,0,0.3993212669683258,0.6006787330316742,2.403404255319149
c01,raw,4,64,10_percent,2,21216,12512,2652,8987,47,0,0,0.5897435897435898,0.41025641025641024,3.5495035460992908
c01,raw,8,8,any,0,1272960,151250,0,0,0,0,0,0.11881755907491201,0.881182440925088,1.0
c01,raw,8,8,any,1,1272960,285781,0,134531,0,0,0,0.224501162644545,0.775498837355455,1.8894611570247934
c01,raw,8,8,any,2,1272960,381597,0,230347,0,0,0,0.2997713989441931,0.700228601055807,2.5229553719008266
c01,raw,8,8,1_percent,0,1272960,151250,0,0,0,0,0,0.11881755907491201,0.881182440925088,1.0
c01,raw,8,8,1_percent,1,1272960,285781,0,134531,0,0,0,0.224501162644545,0.775498837355455,1.8894611570247934
c01,raw,8,8,1_percent,2,1272960,381597,0,230347,0,0,0,0.2997713989441931,0.700228601055807,2.5229553719008266
c01,raw,8,8,5_percent,0,1272960,118460,0,0,0,0,0,0.0930586978381096,0.9069413021618904,1.0
c01,raw,8,8,5_percent,1,1272960,241643,0,123183,0,0,0,0.1898276458019105,0.8101723541980895,2.0398699983116666
c01,raw,8,8,5_percent,2,1272960,335098,0,216638,0,0,0,0.2632431498240322,0.7367568501759678,2.8287860881310145
c01,raw,8,8,10_percent,0,1272960,102169,0,0,0,0,0,0.08026096656611363,0.9197390334338864,1.0
c01,raw,8,8,10_percent,1,1272960,219027,0,116858,0,0,0,0.1720611802413273,0.8279388197586727,2.143771594123462
c01,raw,8,8,10_percent,2,1272960,310944,0,208775,0,0,0,0.2442684766214178,0.7557315233785822,3.0434280456890055
c01,raw,8,16,any,0,318240,56349,0,0,0,0,0,0.17706447963800906,0.8229355203619909,1.0
c01,raw,8,16,any,1,318240,105398,0,49049,0,0,0,0.3311902966314731,0.668809703368527,1.870450229817743
c01,raw,8,16,any,2,318240,137585,0,81236,0,0,0,0.4323309451985923,0.5676690548014077,2.441658237058333
c01,raw,8,16,1_percent,0,318240,49618,0,0,0,0,0,0.15591377576671694,0.8440862242332831,1.0
c01,raw,8,16,1_percent,1,318240,97306,0,47688,0,0,0,0.3057629462041227,0.6942370537958773,1.9611028255874885
c01,raw,8,16,1_percent,2,318240,130526,0,80908,0,0,0,0.41014957264957264,0.5898504273504274,2.6306179209157965
c01,raw,8,16,5_percent,0,318240,38146,0,0,0,0,0,0.11986551030668678,0.8801344896933132,1.0
c01,raw,8,16,5_percent,1,318240,84166,0,46020,0,0,0,0.2644733534439417,0.7355266465560584,2.206417448749541
c01,raw,8,16,5_percent,2,318240,118831,0,80685,0,0,0,0.37340057817998995,0.62659942182001,3.1151627955748964
c01,raw,8,16,10_percent,0,318240,29863,0,0,0,0,0,0.09383798391151332,0.9061620160884867,1.0
c01,raw,8,16,10_percent,1,318240,70737,0,40874,0,0,0,0.222275641025641,0.777724358974359,2.368717141613368
